Project name,Status,Owner,Priority,Completion,Tasks,Summary
StyleCaster Launch,In Progress,Logan Lorenz,Medium,0.5,"Update Stylecaster TopShelf Carousel with inverted CSS Styling (https://www.notion.so/Update-Stylecaster-TopShelf-Carousel-with-inverted-CSS-Styling-26903985e9be8011abaec1c8b80f2ede?pvs=21), Reactivate tags (https://www.notion.so/Reactivate-tags-26d03985e9be80a58122fbfc6db7c8e2?pvs=21)","Project is in progress with a medium priority, scheduled for September 12, 2025. Owner is Logan Lorenz, but specific tasks are not listed."
On3 Expansion,Done,Logan Lorenz,High,1,"Identify expansion target for team sites (https://www.notion.so/Identify-expansion-target-for-team-sites-26803985e9be8040a6c0daf692bfab0e?pvs=21), Create Slack onboarding guide for On3 Team (https://www.notion.so/Create-Slack-onboarding-guide-for-On3-Team-26803985e9be80558197cda51155066b?pvs=21), Auburn Launch (https://www.notion.so/Auburn-Launch-27603985e9be80d78bd5dc19f4feaad4?pvs=21), Notre Dame Launch (https://www.notion.so/Notre-Dame-Launch-27603985e9be80918269f4301a984a92?pvs=21)",No content
On3 Launch,Done,Logan Lorenz,High,1,"On3 launch Michigan section (https://www.notion.so/On3-launch-Michigan-section-26803985e9be80fe956ad67c0ef53882?pvs=21), On3 launch Ohio State section (https://www.notion.so/On3-launch-Ohio-State-section-26803985e9be8078867ef8e7ee6b7f15?pvs=21)","Project On3 has a high priority, was completed on July 28, 2025, and is owned by Logan Lorenz. Specific tasks for the project are not listed."
Essence Launch,In Progress,Logan Lorenz,Medium,0,Curate Essence feed (https://www.notion.so/Curate-Essence-feed-26a03985e9be807b9f80cdf6f4881164?pvs=21),"Project is in progress with medium priority, owned by Logan Lorenz, but specific tasks are not listed."
Swimming World Expansion,Planning,Logan Lorenz,Medium,0.5,"Implement TopShelf (https://www.notion.so/Implement-TopShelf-26a03985e9be805cbcace40491d80214?pvs=21), Curate SW feed (https://www.notion.so/Curate-SW-feed-26a03985e9be8043a59fc2ceb4c84345?pvs=21)","Project focused on expanding Swimming World, currently in the planning stage with medium priority. Specific tasks are yet to be defined."
RevContent Demand Integration,In Progress,Logan Lorenz,High,0.6666666666666666,"RevContent Reporting API Integration (https://www.notion.so/RevContent-Reporting-API-Integration-26a03985e9be804eb31bd0aac4cd8873?pvs=21), RevContent single placement rollout (https://www.notion.so/RevContent-single-placement-rollout-26c03985e9be80079c67d7193c433606?pvs=21), 
Validate RevContent Test results  (https://www.notion.so/Validate-RevContent-Test-results-26c03985e9be80ffbd39e93710b22d86?pvs=21)","The project involves setting up reporting API credentials, including instructions and an API key. The priority is high, and the status is currently in progress, with Logan Lorenz as the owner."
DeepAI Expansion,Planning,Logan Lorenz,Low,0,Evaluate branded test W/Deep.ai (https://www.notion.so/Evaluate-branded-test-W-Deep-ai-26a03985e9be80ca983edde6867a9683?pvs=21),"Project is in the planning stage with a low priority, owned by Logan Lorenz. Specific tasks and additional details are yet to be defined."
Swimming World Launch,Done,Logan Lorenz,Medium,,,"Project details include a medium priority status and completion by owner Logan Lorenz, with sections for project information and tasks yet to be filled out."
Defpen Launch,Done,Logan Lorenz,Low,,,"Project details indicate a low priority status and completion, with tasks yet to be specified."
Brit+Co Expansion,In Progress,Logan Lorenz,High,0.3333333333333333,"Run taxonomy experiment (https://www.notion.so/Run-taxonomy-experiment-27203985e9be80a08c2dc7d5400454c2?pvs=21), Measure Results (https://www.notion.so/Measure-Results-27603985e9be806db644d68cc72af1a4?pvs=21), Migrate to Brit Amazon Acct (https://www.notion.so/Migrate-to-Brit-Amazon-Acct-27803985e9be8006992ec18cd82aa14c?pvs=21)",No content
